map_id,avg trip duration,avg trip length,successful samples,total samples,runtime [s],sttdev arrival times
Distributed_map1_10,261.2994923857868,248.248730964467,197,200,0.1840263436548223,0.2533692003187636
Distributed_map1_14,397.5139664804469,358.7486033519553,179,200,0.6238107217877098,0.3019338849225605
Distributed_map1_18,587.9186046511628,494.3720930232558,86,200,1.3715019453488375,0.4210259929030167
Distributed_map1_2,46.545,46.48,200,200,0.0017850135000000008,0.013958777935230794
Distributed_map1_4,95.38,94.835,200,200,0.008255163999999999,0.12857606052225623
Distributed_map1_6,145.955,143.46,200,200,0.02872384749999998,0.120522046629533
Distributed_map1_8,204.05527638190955,197.28643216080403,199,200,0.0853394150753769,0.25205243221553486
Distributed_map2_10,282.0205128205128,262.65641025641025,195,200,0.2344985358974359,0.169221406808638
Distributed_map2_14,430.22360248447205,379.67080745341616,161,200,0.7513843000000003,0.2751970680572039
Distributed_map2_18,679.8987341772151,540.0759493670886,79,200,1.6761084481012662,0.6529992744338878
Distributed_map2_2,51.015,50.88,200,200,0.0024005775000000007,0.013885172609194614
Distributed_map2_4,103.375,102.105,200,200,0.008465290000000004,0.029841026576076735
Distributed_map2_6,158.63,154.57,200,200,0.031789066500000004,0.09566618642474564
Distributed_map2_8,217.34343434343435,206.86363636363637,198,200,0.10813441464646471,0.0991182250221289
Distributed_map3_10,290.9540816326531,273.6224489795918,196,200,0.20473638775510197,0.13524086976750083
Distributed_map3_14,449.25,397.4761904761905,168,200,0.46693847023809487,0.27450591151070725
Distributed_map3_18,676.5578947368421,548.0842105263158,95,200,0.9545107294736843,0.488687674062605
Distributed_map3_2,52.805,52.755,200,200,0.0013717360000000006,0.010486544003593673
Distributed_map3_4,107.32,106.46,200,200,0.004303355500000001,0.03443170496932864
Distributed_map3_6,164.58,160.915,200,200,0.019244925000000003,0.07887871452595685
Distributed_map3_8,227.12,216.82,200,200,0.05537334199999999,0.14983237489654094
