Distributed_map1_10,330.0906344410876,252.33232628398792,331,350,0.020537984592145016
Distributed_map1_14,567.7918552036199,375.05882352941177,221,350,0.02354205429864254
Distributed_map1_18,903.0,516.2857142857143,42,350,0.0411575
Distributed_map1_6,169.11428571428573,144.24285714285713,350,350,0.007858736857142857
Distributed_map2_10,334.2042042042042,266.35135135135135,333,350,0.015932232132132126
Distributed_map2_14,556.9392712550607,391.7408906882591,247,350,0.023420309716599197
Distributed_map2_18,789.7142857142857,525.1111111111111,63,350,0.03397373174603174
Distributed_map2_6,177.49714285714285,155.94857142857143,350,350,0.0073962339999999955
Distributed_map3_10,364.85207100591714,280.4852071005917,338,350,0.014656299704141998
Distributed_map3_14,626.9307692307692,412.5076923076923,260,350,0.025867505000000002
Distributed_map3_18,813.3333333333334,546.074074074074,81,350,0.041315645679012344
Distributed_map3_6,184.93714285714285,162.66,350,350,0.008725624857142863
